0	1	2840323795_305236...	2839789470_306046...	0.38347888768804234
0	2	2840473701_305946...	2839789470_306046...	0.36648895585957636
0	3	2840529348_305722...	2839789470_306046...	0.3572911918428845
0	4	2842251235_307808...	2839789470_306046...	0.38053261745269096
1	2	2840473701_305946...	2840323795_305236...	0.3797739383755043
1	3	2840529348_305722...	2840323795_305236...	0.4276498548063997
1	4	2842251235_307808...	2840323795_305236...	0.6325957876377213
2	3	2840529348_305722...	2840473701_305946...	0.3569986659910013
2	4	2842251235_307808...	2840473701_305946...	0.39600886452624956
3	4	2842251235_307808...	2840529348_305722...	0.4514808586843641
